,rc_th,rc_r ,rc_p ,rc_y ,sen_r,sen_p,sen_y,cam_x,cam_y,cam_z,fake_x,fake_y,time
0,1900,1500,1500,1500,0.0,0.0,261.0,-0.03264288370693458,0.0036410183830259944,0.46411086925201117,0.0015102806452574492,0.03281057640369259,1675275748.5564134
1,1900,1500,1500,1500,0.0,0.0,261.0,-0.03264288370693458,0.0036410183830259944,0.46411086925201117,0.0015102806452574492,0.03281057640369259,1675275748.5564134
2,1900,1500,1500,1500,0.0,0.0,261.0,-0.03264288370693458,0.0036410183830259944,0.46411086925201117,0.0015102806452574492,0.03281057640369259,1675275748.5564134
3,1900,1500,1500,1500,0.0,0.0,261.0,-0.032675312260521575,0.00352562489022255,0.4615068493745178,0.0016293263961123703,0.032824554188657,1675275748.5564134
4,1900,1500,1500,1500,0.0,0.0,261.0,-0.032675312260521575,0.00352562489022255,0.4615068493745178,0.0016293263961123703,0.032824554188657,1675275748.5564134
5,1900,1500,1500,1500,0.0,-1.0,261.0,-0.031478769082429796,0.002610398981925516,0.4420086903144833,0.0023461037627856194,0.03149956956728169,1675275748.5564134
6,1900,1500,1500,1500,0.0,-1.0,261.0,-0.03267905379682369,0.0026716283100221916,0.46323658288707226,0.0024733941665142345,0.03269465516226868,1675275748.5564134
7,1900,1500,1500,1500,0.0,-1.0,261.0,-0.032446691405077506,0.0017632296607011327,0.46491042363989266,0.0033342594346127325,0.03232304868039837,1675275748.5564134
8,1900,1500,1500,1500,0.0,-1.0,261.0,-0.03197794768787285,0.0010139759812258992,0.46393888541506084,0.004000960885336548,0.031742866877659974,1675275748.5564134
9,1900,1500,1500,1500,0.0,-1.0,260.0,-0.03178464589073879,-0.0002106187356612586,0.4647895084344095,0.005726764800524313,0.03126519214031709,1675275748.5564134
10,1900,1500,1500,1500,-1.0,-1.0,260.0,-0.030883219290640116,-0.001231531332148203,0.4596509916513501,0.006575636354284848,0.030200180623831306,1675275748.5564134
11,1900,1500,1500,1500,-2.0,0.0,260.0,-0.03075549124434024,-0.002587916351337586,0.46321464707792226,0.007889235094775234,0.029838859266761122,1675275748.5564134
12,1900,1500,1500,1500,-3.0,0.0,259.0,-0.030350863724298873,-0.0035537491225704596,0.4625603884244555,0.009279674557912327,0.02911514557298943,1675275748.5564134
13,1900,1500,1500,1500,-3.0,0.0,259.0,-0.03009415668508227,-0.005136210734672667,0.4638992549672017,0.010784079880855259,0.028561207054684876,1675275748.5564134
