,rc_th,rc_r ,rc_p ,rc_y ,sen_r,sen_p,sen_y,cam_x,cam_y,cam_z
0,2000,1493,1531,1850,0.0,0.0,173.0,-0.15637677331632185,0.03384461137901404,0.6355561441874387
1,2000,1493,1531,1850,0.0,0.0,173.0,-0.15637677331632185,0.03384461137901404,0.6355561441874387
2,2000,1493,1531,1850,0.0,0.0,173.0,-0.15637677331632185,0.03384461137901404,0.6355561441874387
3,2000,1493,1531,1850,0.0,0.0,173.0,-0.15580969000464348,0.03376150048878635,0.6342555172591192
4,2000,1493,1531,1850,0.0,0.0,173.0,-0.15580969000464348,0.03376150048878635,0.6342555172591192
5,2000,1493,1531,1850,0.0,0.0,173.0,-0.15583814095132723,0.033841432779546626,0.6353895882062348
6,2000,1493,1531,1850,0.0,0.0,173.0,-0.15644540235836055,0.03418879948211385,0.638324831019796
7,2000,1493,1530,1800,0.0,0.0,174.0,-0.15473315347508385,0.034014211092609964,0.6298336610797768
8,2000,1493,1530,1800,0.0,0.0,174.0,-0.1548434249782296,0.034063372476058985,0.6311790192230575
9,2000,1492,1531,1750,0.0,0.0,175.0,-0.1598130328034998,0.0356433489658148,0.6515785362069051
10,2000,1492,1531,1700,0.0,0.0,176.0,-0.1560713851076439,0.03508931364697888,0.6372374805069498
11,2000,1492,1531,1650,0.0,0.0,177.0,-0.1574734577428696,0.0356049737682738,0.6431493479360835
12,2000,1492,1530,1600,0.0,0.0,178.0,-0.15485540160914446,0.03518919576117543,0.6312751834252662
13,2000,1492,1531,1550,0.0,0.0,179.0,-0.15701195332971168,0.03594088961496086,0.6401390780122913
14,2000,1492,1530,1500,0.0,0.0,180.0,-0.15490328806591494,0.03597682611237563,0.6330452152203738
15,2000,1492,1530,1450,0.0,0.0,181.0,-0.15490328806591494,0.03597682611237563,0.6330452152203738
16,2000,1492,1531,1400,0.0,0.0,182.0,-0.15639942009766955,0.0370016857211678,0.6385391103591159
17,2000,1492,1531,1400,0.0,0.0,182.0,-0.15615982817921323,0.03717383316694613,0.6367723963940242
18,2000,1492,1530,1350,0.0,0.0,183.0,-0.15304777266088368,0.03684454821560193,0.6246822222676003
19,2000,1492,1531,1300,0.0,0.0,184.0,-0.15699288501817318,0.038195869047370455,0.6400385853466587
20,2000,1492,1530,1300,0.0,0.0,184.0,-0.15464985459128908,0.03839783077890626,0.6309898438260743
21,2000,1492,1531,1300,0.0,0.0,184.0,-0.15603055758011605,0.039312034655389884,0.6384967094284756
22,2000,1491,1531,1300,0.0,0.0,184.0,-0.15800840372596375,0.0404633715802737,0.6460306783354547
23,2000,1492,1530,1300,0.0,0.0,184.0,-0.15333561878931348,0.03969572064607241,0.6267743664243555
24,2000,1491,1531,1300,0.0,0.0,184.0,-0.1557919307616752,0.0412308453461117,0.6398000825709758
25,2000,1491,1530,1350,0.0,0.0,183.0,-0.1536893490076323,0.04242237616469124,0.633821833763225
26,2000,1491,1529,1350,-1.0,0.0,183.0,-0.14946301857043337,0.04222555046987052,0.6209032980152921
27,2000,1491,1530,1400,-1.0,1.0,182.0,-0.1512641355254021,0.04321793287555157,0.6324032439230256
28,2000,1491,1530,1400,-1.0,1.0,182.0,-0.1503887796747005,0.04423323718587089,0.6336055887551949
29,2000,1491,1529,1400,-2.0,2.0,182.0,-0.14856356300803558,0.044228354682941715,0.633673942213054
30,2000,1491,1529,1400,-2.0,2.0,182.0,-0.14522811071487035,0.0439144020987497,0.6259097581149949
31,2000,1490,1529,1400,-2.0,2.0,182.0,-0.1469325407648086,0.04557924883028387,0.6429602699545311
32,2000,1490,1528,1400,-2.0,1.0,182.0,-0.14308670433772197,0.045126788472602264,0.6338526324738265
33,2000,1490,1528,1400,-1.0,1.0,182.0,-0.14071780937556522,0.0450659215220775,0.6330617511147676
34,2000,1490,1527,1400,-1.0,1.0,182.0,-0.1385233897616108,0.04511526232604707,0.6340213098278563
35,2000,1490,1527,1400,-1.0,1.0,182.0,-0.13738707917127338,0.04546434481253961,0.6419361748580821
36,2000,1490,1526,1400,-1.0,0.0,182.0,-0.13487345631010772,0.04510461252735378,0.6407241445864125
37,2000,1491,1525,1400,-1.0,1.0,182.0,-0.12964736222115247,0.04382950511307012,0.6287701448463342
38,2000,1491,1525,1400,-2.0,1.0,182.0,-0.12580503381492633,0.04294215387950829,0.6262496406966312
39,2000,1491,1525,1400,-2.0,1.0,182.0,-0.12565450542108425,0.043239176968229855,0.641109751222595
40,2000,1491,1524,1400,-3.0,2.0,182.0,-0.12118460751873145,0.0423368183801919,0.6347264425173132
41,2000,1491,1523,1400,-3.0,3.0,182.0,-0.11549744806000704,0.04057891131942247,0.6260328051451598
42,2000,1491,1522,1400,-3.0,3.0,182.0,-0.11481608168095381,0.04053877022321737,0.6467073082009382
43,2000,1492,1521,1350,-3.0,2.0,183.0,-0.10916514303896055,0.03853656764520454,0.6398415841393078
44,2000,1492,1520,1350,-4.0,1.0,183.0,-0.10225527433972512,0.03596980851498224,0.6285222474027486
45,2000,1493,1519,1300,-4.0,0.0,184.0,-0.0964820745450311,0.034106606268312176,0.6276430515335834
46,2000,1493,1518,1250,-4.0,1.0,185.0,-0.09472525278713038,0.032879421290625134,0.6484706240425013
47,2000,1493,1518,1200,-3.0,1.0,186.0,-0.0900131231873816,0.030283867349511898,0.6319529700794978
48,2000,1494,1518,1250,-2.0,0.0,185.0,-0.09114302014021763,0.02889856973396907,0.6317268503632684
49,2000,1494,1518,1200,-1.0,0.0,186.0,-0.09313808984810745,0.02777357619051804,0.6329126830753348
50,2000,1494,1518,1200,-1.0,0.0,186.0,-0.09430350644701373,0.026108114728883244,0.6321913885212957
