,rc_th,rc_r ,rc_p ,rc_y ,sen_r,sen_p,sen_y,cam_x,cam_y,cam_z
0,1755,1502,1509,1410,-1.0,0.0,183.0,-0.3318629549694954,-0.09272867434241201,0.9381597724830032
1,1757,1502,1510,1410,-1.0,0.0,183.0,-0.3341128245570717,-0.09324383336167236,0.9435158125403678
2,1748,1502,1509,1410,-1.0,0.0,183.0,-0.3258718739838115,-0.09126139945136202,0.9202131289768999
3,1755,1502,1509,1410,-1.0,0.0,183.0,-0.3318629549694954,-0.09272867434241201,0.9381597724830032
4,1755,1502,1509,1410,-1.0,0.0,183.0,-0.3318629549694954,-0.09272867434241201,0.9381597724830032
5,1757,1502,1510,1410,-1.0,0.0,183.0,-0.3341128245570717,-0.09324383336167236,0.9435158125403678
6,1755,1502,1509,1410,-1.0,0.0,183.0,-0.3318629549694954,-0.09272867434241201,0.9381597724830032
7,1757,1502,1510,1410,-1.0,0.0,183.0,-0.3341128245570717,-0.09324383336167236,0.9435158125403678
8,1757,1502,1510,1410,-1.0,0.0,183.0,-0.3341128245570717,-0.09324383336167236,0.9435158125403678
9,1755,1502,1509,1410,-1.0,0.0,183.0,-0.3318629549694954,-0.09272867434241201,0.9381597724830032
10,1755,1502,1509,1410,-1.0,0.0,183.0,-0.3318629549694954,-0.09272867434241201,0.9381597724830032
11,1757,1502,1510,1410,-1.0,0.0,183.0,-0.3341128245570717,-0.09324383336167236,0.9435158125403678
12,1755,1502,1509,1410,-1.0,0.0,183.0,-0.3318629549694954,-0.09272867434241201,0.9381597724830032
13,1755,1502,1509,1410,-1.0,0.0,183.0,-0.3318629549694954,-0.09272867434241201,0.9381597724830032
14,1747,1502,1509,1410,-1.0,0.0,183.0,-0.32516294034048343,-0.09117002955269386,0.9191892276136745
15,1757,1502,1510,1410,-1.0,0.0,183.0,-0.33408536325786675,-0.09394083357522004,0.943840334624307
16,1757,1502,1510,1410,-1.0,0.0,183.0,-0.33408536325786675,-0.09394083357522004,0.943840334624307
17,1765,1502,1510,1410,-1.0,0.0,183.0,-0.34097943869749814,-0.09688435862911883,0.9629447141724011
