,rc_th,rc_r ,rc_p ,rc_y ,sen_r,sen_p,sen_y,cam_x,cam_y,cam_z
0,1875,1500,1504,1560,-4.0,1.0,177.0,-0.22930421849089666,-0.033994239992490904,0.5859418453033013
1,1875,1500,1504,1560,-4.0,1.0,177.0,-0.22930421849089666,-0.033994239992490904,0.5859418453033013
2,1875,1500,1504,1560,-4.0,1.0,177.0,-0.22930421849089666,-0.033994239992490904,0.5859418453033013
3,1875,1500,1504,1560,-4.0,1.0,177.0,-0.23156395126507437,-0.03413337432498246,0.5917369663866696
4,1875,1500,1504,1560,-4.0,1.0,177.0,-0.22769387148978273,-0.03335877715281399,0.5818087747927643
5,1875,1500,1504,1560,-4.0,1.0,177.0,-0.23156395126507437,-0.03413337432498246,0.5917369663866696
6,1875,1500,1504,1580,-4.0,1.0,176.0,-0.23156395126507437,-0.03413337432498246,0.5917369663866696
7,1875,1500,1504,1580,-4.0,1.0,176.0,-0.22928477756603982,-0.03393741292840374,0.5848812137919279
8,1875,1500,1504,1580,-4.0,1.0,176.0,-0.2289702025380355,-0.03428936021689665,0.583488402133833
9,1875,1500,1504,1580,-3.0,1.0,176.0,-0.23042677817247875,-0.03490391333331496,0.5872190422345518
10,1875,1500,1504,1580,-3.0,1.0,176.0,-0.23677415682257,-0.03730899737032167,0.6056514528956795
11,1875,1500,1504,1580,-3.0,1.0,176.0,-0.23848723594789653,-0.04017525449891749,0.6123609605716507
12,1875,1500,1504,1580,-3.0,1.0,176.0,-0.23508846800597036,-0.042575753220890106,0.6058949378555923
13,1875,1501,1504,1580,0.0,0.0,176.0,-0.2234699984492182,-0.05039793462937146,0.5848730161661292
14,1875,1501,1504,1580,0.0,0.0,176.0,-0.21277925069886527,-0.052092830540025156,0.5599848580994008
15,1875,1501,1504,1580,0.0,0.0,176.0,-0.21019068406621452,-0.06508942882570812,0.5608309790265963
16,1875,1502,1504,1540,0.0,0.0,178.0,-0.21613310536934666,-0.1180648272036874,0.5882658157726718
17,1875,1502,1504,1540,0.0,0.0,178.0,-0.21330882487528818,-0.1188296154490054,0.5805592436680754
18,1875,1502,1504,1540,0.0,0.0,178.0,-0.21718540871530248,-0.1195259177346219,0.5870351934897983
19,1875,1502,1504,1540,0.0,0.0,178.0,-0.2201518002416553,-0.11912590068819633,0.5922710044150004
20,1875,1502,1504,1540,0.0,0.0,178.0,-0.21829020069783384,-0.11678916910971475,0.5837575260107939
21,1875,1502,1504,1540,0.0,0.0,178.0,-0.2218784582926036,-0.1180597453895263,0.5911546165418411
22,1875,1502,1504,1540,0.0,0.0,178.0,-0.22491297204552474,-0.11923959362846227,0.5974177800890433
23,1875,1502,1504,1540,0.0,0.0,178.0,-0.22334968856489262,-0.11780285548078696,0.5904482473590489
24,1875,1502,1504,1540,0.0,0.0,178.0,-0.22832458690612384,-0.11963877411575738,0.6007040493360476
