,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,drone_error_x,drone_error_y,mode,AUX2,AUX3,Battery,time step
0,1200,1500,1500,1500,0.8,-0.2,11,169.0,11.626321612348995,-52.80909595753222,179.30120064543573,1.3362627917865613,54.057250871986696,Controller Detection,1500,1000,3.8,10.495083093643188
1,1481,1500,1500,1500,0.8,-0.2,11,169.0,11.950544847739069,-54.2161561253043,184.31978339719083,1.386049396103866,55.500324091240714,Controller Detection,1500,1000,3.8,10.544081926345825
2,1479,1500,1500,1500,0.8,-0.2,11,169.0,11.812016319601685,-53.48036324871519,181.69103361954998,1.3904619267884009,54.751617312908806,Controller Detection,1500,1000,3.8,10.596081733703613
3,1592,1500,1500,1500,0.8,-0.2,11,169.0,11.944886900812884,-54.25252408792787,184.24048693516613,1.3735560671865237,55.53494428478973,Controller Detection,1500,1000,3.8,10.644080638885498
4,1601,1500,1500,1500,0.8,-0.2,12,168.0,11.785306248947633,-53.38778464094883,181.26979910604945,0.4278244576071817,54.671436404061026,Controller Detection,1500,1000,3.8,10.701079845428467
5,1602,1500,1500,1500,0.8,-0.2,12,168.0,11.544800490312074,-52.54304679446035,178.10674605795302,0.3682052007963179,53.79515414733995,Controller Detection,1500,1000,3.8,10.749094486236572
6,1592,1500,1500,1500,0.8,-0.2,12,168.0,11.785306248947633,-53.38778464094883,181.26979910604945,0.4278244576071817,54.671436404061026,Controller Detection,1500,1000,3.8,10.799083232879639
7,1591,1500,1500,1500,0.8,-0.2,12,168.0,11.910572597290995,-54.053229256658156,183.65837088709904,0.41199972049422584,55.348383796624965,Controller Detection,1500,1000,3.8,10.84708046913147
8,1600,1500,1500,1500,1.0,-0.3,10,170.0,11.583451796763358,-52.64286876595952,178.6836601722804,2.266134907727512,53.85455059712183,Controller Detection,1500,1000,3.8,10.899079084396362
9,1597,1500,1500,1500,1.0,-0.3,10,170.0,11.809848147838,-53.65335907451165,182.08003555127152,2.3136219888893237,54.889002601122215,Controller Detection,1500,1000,3.8,10.947078943252563
10,1594,1500,1500,1500,1.7,0.0,7,173.0,11.809689854589092,-53.56893911657947,181.68697233577706,5.193250780202101,54.60888351606644,Controller Detection,1500,1000,3.8,10.997076272964478
11,1599,1500,1500,1500,1.7,0.0,7,173.0,11.642549124486967,-52.683694673709574,178.6797853241332,5.135240050762326,53.70986822000025,Controller Detection,1500,1000,3.8,11.04807734489441
12,1594,1500,1500,1500,2.3,1.1,5,175.0,11.978681769770263,-53.90559098167601,182.8616956490038,7.234917448913946,54.74447484023002,Controller Detection,1500,1000,3.8,11.098079204559326
13,1595,1500,1500,1500,3.1,2.4,4,176.0,12.066660724310557,-53.770220133079626,182.3745424205578,8.286445996325366,54.4809662813119,Controller Detection,1500,1000,3.7,11.150078296661377
14,1601,1500,1500,1500,3.1,2.4,4,176.0,12.1210903370432,-52.93290336168691,180.0602739194164,8.399151286636185,53.64948598934239,Controller Detection,1500,1000,3.7,11.210108280181885
15,1598,1500,1500,1500,3.0,2.6,5,175.0,12.42508584530545,-52.88497179291326,180.20078326931414,7.7685756456277755,53.76664609438272,Controller Detection,1500,1000,3.7,11.268089056015015
16,1594,1500,1500,1500,2.1,2.0,6,174.0,12.816435377923368,-52.6313926877225,180.3361312697697,7.244747006633279,53.68275470628919,Controller Detection,1500,1000,3.7,11.321078062057495
17,1594,1500,1500,1500,1.5,1.1,7,173.0,13.156200064273557,-51.794957017935886,178.46841879706386,6.745918340544348,53.012222726119724,Controller Detection,1500,1000,3.7,11.374084234237671
18,1591,1500,1500,1500,1.4,0.7,7,173.0,13.540851067216952,-50.651590548520716,175.3678620921294,7.2670435341398765,51.92425590215482,Controller Detection,1500,1000,3.7,11.422085046768188
19,1583,1500,1500,1500,1.4,0.7,7,173.0,14.431671372287088,-51.55884773628758,179.64007222600964,8.04065696196844,52.93331421809262,Controller Detection,1500,1000,3.7,11.473080158233643
20,1584,1500,1500,1500,1.4,0.9,7,173.0,14.967682703323312,-51.10344960909361,179.05506634928219,8.62817201657365,52.54663390845268,Controller Detection,1500,1000,3.7,11.52608585357666
21,1590,1500,1500,1500,0.8,0.6,7,173.0,15.928014984464722,-51.64041823519723,181.89008345510226,9.515906112625077,53.196635116397424,Controller Detection,1500,1000,3.7,11.579077243804932
22,1594,1500,1500,1500,0.1,0.2,7,173.0,15.844226901908845,-48.6028836619067,172.2544823954525,9.802924917748188,50.17153066659419,Controller Detection,1500,1000,3.7,11.641085147857666
23,1585,1500,1500,1500,0.1,0.5,7,173.0,16.772496774402622,-49.63722038464606,176.64760432489422,10.598221670116388,51.311285240114024,Controller Detection,1500,1000,3.7,11.69808053970337
24,1574,1500,1500,1500,0.1,0.5,7,173.0,18.27765711566414,-49.1788648547695,176.5659930483273,12.148022261910821,51.03977912536054,Controller Detection,1500,1000,3.7,11.748077869415283
25,1581,1500,1500,1500,0.0,0.8,7,173.0,18.83531546754548,-48.43514827532714,174.5023935167027,12.792160164217453,50.36956755371135,Controller Detection,1500,1000,3.7,11.801088571548462
26,1581,1500,1500,1500,0.3,0.5,7,173.0,-1000.0,-1000.0,-1000.0,-1114.4154950464695,870.6768082361745,Controller Memory,1500,1000,3.7,11.851082563400269
27,1578,1500,1500,1500,0.0,0.3,7,173.0,19.932127895166218,-47.368142107970776,171.8339607380946,14.010832459349752,49.44418249891698,Controller Detection,1500,1000,3.7,11.90007996559143
28,1571,1500,1500,1500,0.2,0.0,7,173.0,20.80519772606865,-47.430026458575924,172.47925032732223,14.869852754950799,49.61200601999587,Controller Detection,1500,1000,3.6,11.949082851409912
29,1566,1500,1500,1500,0.2,0.0,7,173.0,20.897842235208326,-46.06664007127881,167.3664197380906,15.127961709795498,48.2700726335829,Controller Detection,1500,1000,3.6,12.00208044052124
30,1559,1500,1500,1500,0.0,-0.6,7,173.0,22.167698176802364,-47.45095321303172,172.50921568186158,16.219647004110985,49.79882382491744,Controller Detection,1500,1000,3.6,12.050083875656128
31,1558,1500,1500,1500,0.1,-0.9,7,173.0,22.608478872336022,-46.9528530838205,170.5098660796087,16.71784532287769,49.358154112487156,Controller Detection,1500,1000,3.6,12.100080966949463
32,1564,1500,1500,1500,-0.2,-1.2,8,172.0,25.38702823382807,-51.15118428357091,185.24222378428973,18.02109448567632,54.18657591779853,Controller Detection,1500,1000,3.6,12.15508222579956
33,1583,1500,1500,1500,-0.5,-1.1,7,173.0,25.240551815772733,-49.93187780797581,180.51519485863585,18.96724740660454,52.63574263950294,Controller Detection,1500,1000,3.6,12.203089237213135
34,1602,1500,1500,1500,-0.3,-0.8,7,173.0,25.473060146176692,-49.2636351668607,177.36751381027108,19.279460947079556,52.00081661526407,Controller Detection,1500,1000,3.6,12.252080202102661
35,1591,1500,1500,1500,-0.2,-0.3,7,173.0,26.12608320751639,-49.63699742906561,177.88365546416418,19.88211505979814,52.45097938349753,Controller Detection,1500,1000,3.6,12.305076837539673
36,1586,1500,1500,1500,0.6,0.4,6,174.0,26.351276062239396,-49.38675159917067,176.06645284709504,21.04459976434828,51.87066419841691,Controller Detection,1500,1000,3.6,12.353086471557617
37,1584,1500,1500,1500,-0.1,-0.3,6,174.0,27.78890730879361,-51.434372077625966,181.91030544079518,22.260320894543725,54.05734098259303,Controller Detection,1500,1000,3.6,12.401083946228027
38,1589,1500,1500,1500,-1.2,-0.2,6,174.0,29.15966407152342,-53.297227389706386,186.8145551394848,23.428847105240898,56.053274476282006,Controller Detection,1500,1000,3.6,12.449085474014282
39,1607,1500,1500,1500,-1.2,-0.2,6,174.0,29.483314689403162,-53.473742064522995,185.97250896072777,23.732273923469002,56.26265288696352,Controller Detection,1500,1000,3.6,12.497082948684692
40,1616,1500,1500,1500,0.0,-0.2,6,174.0,30.35432045534306,-54.7968411100787,188.21905024221942,24.46020671870541,57.669548751720505,Controller Detection,1500,1000,3.6,12.546083688735962
41,1618,1500,1500,1500,0.3,0.4,6,174.0,30.124181815700382,-54.018107896457074,184.0104961599947,24.312728588725847,56.87102548178294,Controller Detection,1500,1000,3.6,12.596089601516724
42,1616,1500,1500,1500,0.4,0.7,7,173.0,30.802928299965266,-55.19171481901162,185.555058470074,23.847149897016994,58.534256792967916,Controller Detection,1500,1000,3.6,12.648084163665771
43,1611,1500,1500,1500,0.7,0.7,7,173.0,31.91584999663522,-56.7005217926055,188.37244888129072,24.767898728927896,60.16744838461262,Controller Detection,1500,1000,3.6,12.698076963424683
44,1618,1500,1500,1500,0.6,0.8,8,172.0,32.21261567709413,-57.210660514790156,187.56756845619248,23.936939683853524,61.13701991322688,Controller Detection,1500,1000,3.6,12.747079372406006
45,1622,1500,1500,1500,0.6,0.8,8,172.0,31.962687513021017,-56.690950812455206,183.13310823816144,23.761773414365706,60.58758471237808,Controller Detection,1500,1000,3.6,12.793087005615234
46,1614,1500,1500,1500,0.0,0.3,8,172.0,33.33263880944257,-58.909644303298194,187.35684138602343,24.809609985742558,62.97534640077191,Controller Detection,1500,1000,3.6,12.845078706741333
47,1614,1500,1500,1500,-0.3,-0.4,7,173.0,-1000.0,-1000.0,-1000.0,-1114.4154950464695,870.6768082361745,Controller Memory,1500,1000,3.6,12.894083261489868
48,1614,1500,1500,1500,-0.1,-0.4,7,173.0,-1000.0,-1000.0,-1000.0,-1114.4154950464695,870.6768082361745,Controller Memory,1500,1000,3.6,12.945080280303955
49,1614,1500,1500,1500,0.2,0.0,7,173.0,-1000.0,-1000.0,-1000.0,-1114.4154950464695,870.6768082361745,Controller Memory,1500,1000,3.6,12.994083404541016
50,1614,1500,1500,1500,0.1,0.2,7,173.0,-1000.0,-1000.0,-1000.0,-1114.4154950464695,870.6768082361745,Controller Memory,1500,1000,3.6,13.04207730293274
51,1614,1500,1500,1500,0.1,0.1,7,173.0,-1000.0,-1000.0,-1000.0,-1114.4154950464695,870.6768082361745,Controller Memory,1500,1000,3.6,13.096075534820557
52,1613,1500,1500,1500,0.7,-1.2,167,13.0,6.834022666572027,-16.795046155423464,188.16614025565187,-10.436930448787937,-14.827269606275728,Controller Detection,1500,1000,3.8,51.63654923439026
53,1621,1500,1500,1500,0.8,-1.2,167,13.0,6.779347609865562,-16.598448220180998,185.83736073511812,-10.339431797428102,-14.64800967502931,Controller Detection,1500,1000,3.8,51.699177503585815
54,1619,1500,1500,1500,0.8,-1.2,167,13.0,6.947189293124519,-17.07830833334779,190.5043738862817,-10.610916747613231,-15.077814840971536,Controller Detection,1500,1000,3.8,51.7471923828125
55,1623,1500,1500,1500,0.8,-1.2,167,13.0,6.841396409943057,-16.885650883543764,189.17416280558012,-10.464496832713278,-14.913893409738378,Controller Detection,1500,1000,3.8,51.801178216934204
56,1629,1500,1500,1500,0.8,-1.2,167,13.0,6.834022666572027,-16.795046155423464,188.16614025565187,-10.436930448787937,-14.827269606275728,Controller Detection,1500,1000,3.8,51.84517765045166
57,1626,1500,1500,1500,0.8,-1.0,167,13.0,6.947189293124519,-17.07830833334779,190.5043738862817,-10.610916747613231,-15.077814840971536,Controller Detection,1500,1000,3.8,51.89317536354065
58,1627,1500,1500,1500,0.8,-1.0,167,13.0,6.840821267906581,-16.845734880653108,188.39803566716557,-10.45495728459449,-14.875129830223345,Controller Detection,1500,1000,3.8,51.939183950424194
59,1628,1500,1500,1500,1.4,0.0,166,14.0,6.774760236216747,-16.68333324746994,185.74628730848872,-10.609584507894558,-14.548804111479514,Controller Detection,1500,1000,3.8,51.99518084526062
60,1621,1500,1500,1500,2.3,1.1,165,15.0,6.713393848542726,-16.79905964843798,186.48089486018154,-10.832557077186586,-14.489091386519837,Controller Detection,1500,1000,3.7,52.04818320274353
61,1617,1500,1500,1500,3.0,2.3,164,16.0,6.527430788120155,-16.699127550599915,183.0756227858745,-10.877472552006541,-14.253027907264068,Controller Detection,1500,1000,3.7,52.105180501937866
62,1613,1500,1500,1500,3.0,2.3,164,16.0,6.646911236958986,-17.756076586609034,190.84318993930248,-11.283659168407706,-15.236099255148801,Controller Detection,1500,1000,3.7,52.14818501472473
63,1618,1500,1500,1500,2.9,2.7,163,17.0,6.334527300657859,-17.968796138501222,188.13195000649907,-11.311306143225732,-15.33160866067289,Controller Detection,1500,1000,3.7,52.195178747177124
64,1618,1500,1500,1500,2.9,2.7,163,17.0,-1000.0,-1000.0,-1000.0,663.9330512402987,-1248.676460685772,Controller Memory,1500,1000,3.7,52.24418020248413
65,1618,1500,1500,1500,3.2,2.9,164,16.0,-1000.0,-1000.0,-1000.0,685.6243401213197,-1236.899051755318,Controller Memory,1500,1000,3.7,52.29218411445618
66,1618,1500,1500,1500,3.0,2.2,164,16.0,-1000.0,-1000.0,-1000.0,685.6243401213197,-1236.899051755318,Controller Memory,1500,1000,3.7,52.33918857574463
67,1618,1500,1500,1500,3.0,2.2,164,16.0,-1000.0,-1000.0,-1000.0,685.6243401213197,-1236.899051755318,Controller Memory,1500,1000,3.7,52.38517665863037
68,1618,1500,1500,1500,2.2,1.0,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.7,52.436177492141724
69,1618,1500,1500,1500,2.2,1.0,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.7,52.49820065498352
70,1618,1500,1500,1500,1.6,1.1,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.7,52.54917860031128
71,1618,1500,1500,1500,1.6,1.1,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.7,52.5971839427948
72,1618,1500,1500,1500,0.6,1.1,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.7,52.64818286895752
73,1618,1500,1500,1500,0.6,1.1,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.7,52.69718551635742
74,1618,1500,1500,1500,0.5,0.6,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Memory,1500,1000,3.7,52.74217510223389
75,1618,1500,1500,1500,0.4,0.0,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.7,52.79017925262451
76,1618,1500,1500,1500,0.4,-0.1,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.7,52.83818221092224
77,1618,1500,1500,1500,0.4,-0.1,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.7,52.900390625
78,1618,1500,1500,1500,0.1,-0.1,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,52.947397232055664
79,1618,1500,1500,1500,0.1,-0.1,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,52.99339461326599
80,1618,1500,1500,1500,0.1,-0.1,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,53.04340672492981
81,1618,1500,1500,1500,0.1,-0.1,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,53.088395833969116
82,1618,1500,1500,1500,0.1,-0.1,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,53.137391090393066
83,1618,1500,1500,1500,0.1,-0.1,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,53.18339157104492
84,1618,1500,1500,1500,0.1,-0.2,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,53.23739576339722
85,1618,1500,1500,1500,0.1,-0.3,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,53.29840326309204
86,1618,1500,1500,1500,0.1,-0.2,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,53.3474018573761
87,1618,1500,1500,1500,0.1,-0.2,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,53.39639639854431
88,1618,1500,1500,1500,0.3,-0.2,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,53.44839787483215
89,1618,1500,1500,1500,0.3,-0.2,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,53.490407943725586
90,1618,1500,1500,1500,0.3,0.3,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,53.5404007434845
91,1618,1500,1500,1500,0.3,0.3,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,53.589396953582764
92,1618,1500,1500,1500,0.3,0.6,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,53.6353919506073
93,1618,1500,1500,1500,0.2,0.2,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Memory,1500,1000,3.6,53.700395345687866
94,1618,1500,1500,1500,0.2,0.2,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Memory,1500,1000,3.6,53.74939513206482
95,1618,1500,1500,1500,0.2,0.2,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Memory,1500,1000,3.6,53.799399614334106
96,1618,1500,1500,1500,0.0,-0.2,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Memory,1500,1000,3.6,53.846402406692505
97,1618,1500,1500,1500,0.0,-0.2,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Memory,1500,1000,3.6,53.892394065856934
98,1618,1500,1500,1500,0.0,-0.2,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Memory,1500,1000,3.6,53.939393043518066
99,1618,1500,1500,1500,-0.1,0.1,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Memory,1500,1000,3.6,53.989407539367676
100,1618,1500,1500,1500,-0.1,0.1,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Memory,1500,1000,3.6,54.03940153121948
101,1618,1500,1500,1500,0.3,0.3,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Memory,1500,1000,3.6,54.102421045303345
102,1618,1500,1500,1500,0.3,0.3,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Memory,1500,1000,3.6,54.14441895484924
103,1618,1500,1500,1500,-0.5,-0.2,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Memory,1500,1000,3.6,54.19442057609558
104,1000,1500,1500,1500,-0.5,-0.2,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Default,1500,1000,3.6,54.243425369262695
105,1000,1500,1500,1500,-0.5,-0.4,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Default,1500,1000,3.6,54.294418811798096
106,1000,1500,1500,1500,0.1,-0.3,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Default,1500,1000,3.6,54.3384325504303
107,1000,1500,1500,1500,0.1,-0.3,165,15.0,-1000.0,-1000.0,-1000.0,707.1067811865476,-1224.7448713915892,Controller Default,1500,1000,3.6,54.38642239570618
108,1000,1500,1500,1500,0.5,-0.3,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Default,1500,1000,3.6,54.43742084503174
109,1628,1500,1500,1500,0.6,-0.4,166,14.0,-32.65632874621659,-31.10481942685105,183.1074888443914,24.161359340288747,-38.0811543100708,Controller Detection,1500,1000,3.6,54.49942207336426
110,1628,1500,1500,1500,0.4,-0.4,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Memory,1500,1000,3.6,54.54642415046692
111,1628,1500,1500,1500,0.4,-0.4,166,14.0,-1000.0,-1000.0,-1000.0,728.3738306763287,-1212.2176218756642,Controller Memory,1500,1000,3.6,54.59342408180237
112,1617,1500,1500,1500,0.9,-0.8,166,14.0,-35.73486369445052,-30.721295836627796,195.89113771159086,27.241231397705427,-38.45378801989773,Controller Detection,1500,1000,3.6,54.64344596862793
113,1626,1500,1500,1500,2.7,1.4,165,15.0,-35.46764908185653,-30.400609715481256,194.13580518917334,26.390861468827712,-38.54443712651511,Controller Detection,1500,1000,3.6,54.90983605384827
114,1646,1500,1500,1500,2.7,1.4,165,15.0,-36.17499712498715,-30.630648363153924,194.01227232142764,27.0145688287353,-38.94971254242496,Controller Detection,1500,1000,3.6,54.9578423500061
