,rc_th,rc_r ,rc_p ,rc_y ,sen_r,sen_p,sen_y,cam_x,cam_y,cam_z
0,1875,1510,1504,1320,-2.0,0.0,186.0,-0.13951279998733965,-0.34769131634818545,0.9496988226084813
1,1875,1510,1504,1320,-2.0,0.0,186.0,-0.14063383761069326,-0.34996640758822456,0.9533987599147549
2,1875,1510,1504,1320,-2.0,0.0,186.0,-0.144443127552551,-0.35773862692932235,0.974529717072414
3,1875,1510,1504,1320,-2.0,0.0,186.0,-0.14224327925556676,-0.34903338789020827,0.9496119286908775
4,1875,1510,1504,1320,-2.0,0.0,186.0,-0.1478467805808594,-0.35989462794640037,0.9801401376513122
5,1875,1510,1504,1320,-3.0,0.0,186.0,-0.14412219104300847,-0.3491423685296933,0.9508044830242398
6,1875,1510,1504,1320,-3.0,0.0,186.0,-0.14857568835629614,-0.3561226105624402,0.9739546132803059
7,1875,1510,1504,1320,-2.0,0.0,186.0,-0.14349174097227316,-0.34846584431819305,0.9397884667224815
8,1875,1510,1504,1320,-2.0,0.0,186.0,-0.14930892514639638,-0.36566894040156017,0.9804312246373198
9,1875,1510,1504,1320,0.0,1.0,186.0,-0.14506102116663025,-0.354701208445978,0.9500893091169589
10,1875,1510,1504,1320,0.0,1.0,186.0,-0.1455173312054167,-0.35331346544356923,0.9509364716737053
11,1875,1510,1504,1320,0.0,1.0,186.0,-0.147912123295344,-0.3657157727847336,0.9805586240572638
12,1875,1510,1504,1320,0.0,1.0,186.0,-0.13620973143443446,-0.35158584929203074,0.9482324700094742
13,1875,1510,1500,1290,0.0,0.0,187.0,-0.021050264130605834,-0.3541081522463278,0.9909281135680771
14,1875,1510,1499,1320,0.0,0.0,186.0,0.017333223750513455,-0.3469180543443078,0.9842751872365796
15,1875,1509,1502,1000,-59.0,44.0,313.0,-0.09555439004165611,-0.3005384786952825,1.3122065331575012
16,1875,1519,1506,1000,-59.0,44.0,313.0,-0.23162265541676882,-0.6527127150274454,2.831714213124926
17,1875,1509,1502,1000,-59.0,44.0,313.0,-0.09743872590123033,-0.3005316441447042,1.3121668731179716
18,1875,1509,1502,1000,-59.0,44.0,313.0,-0.09743872590069164,-0.30053164414304157,1.3121668731107219
19,1875,1509,1502,1000,-59.0,44.0,313.0,-0.09743872590123033,-0.3005316441447042,1.3121668731179716
20,1875,1509,1502,1000,-59.0,44.0,313.0,-0.09743872590069164,-0.30053164414304157,1.3121668731107219
