,rc_th,rc_r ,rc_p ,rc_y ,sen_r,sen_p,sen_y,cam_x,cam_y,cam_z
0,1773,1502,1509,1560,-2.0,0.0,178.0,-0.32858614749935205,-0.0977482574888866,0.9477462923228795
1,1773,1502,1509,1560,-2.0,0.0,178.0,-0.32858614749935205,-0.0977482574888866,0.9477462923228795
2,1762,1502,1509,1560,-2.0,0.0,178.0,-0.3211425610043677,-0.09508244280328135,0.9249766919302987
3,1762,1502,1509,1560,-2.0,0.0,178.0,-0.3211425610043677,-0.09508244280328135,0.9249766919302987
4,1773,1502,1509,1560,-2.0,0.0,178.0,-0.32858614749935205,-0.0977482574888866,0.9477462923228795
5,1773,1502,1509,1560,-2.0,0.0,178.0,-0.32858614749935205,-0.0977482574888866,0.9477462923228795
6,1773,1502,1509,1560,-2.0,0.0,178.0,-0.32858614749935205,-0.0977482574888866,0.9477462923228795
7,1762,1502,1509,1560,-2.0,0.0,178.0,-0.3211425610043677,-0.09508244280328135,0.9249766919302987
8,1773,1502,1509,1560,-2.0,0.0,178.0,-0.32858614749935205,-0.0977482574888866,0.9477462923228795
9,1771,1502,1509,1560,-2.0,0.0,178.0,-0.3272112975884106,-0.09723066921475902,0.9428335218773345
10,1773,1502,1509,1560,-2.0,0.0,178.0,-0.3285201928645979,-0.0984074943607612,0.9473154093367889
11,1762,1502,1509,1560,-2.0,0.0,178.0,-0.32054690626851257,-0.09644199056131053,0.9252059656024811
12,1774,1502,1509,1560,-2.0,0.0,178.0,-0.3283635803494137,-0.09992289573001975,0.9487653928149462
13,1771,1502,1509,1560,-2.0,0.0,178.0,-0.3258462068027856,-0.09995166387923905,0.9428625573087617
14,1762,1502,1509,1560,-2.0,0.0,178.0,-0.31927821912104526,-0.09913501077865479,0.9254412192580458
15,1758,1502,1509,1560,-2.0,0.0,178.0,-0.31586789653087316,-0.09895290579879486,0.9179013031152675
16,1762,1503,1509,1560,-2.0,0.0,178.0,-0.3179779469511248,-0.10048496309650505,0.9255826325529017
17,1761,1503,1509,1560,-2.0,0.0,178.0,-0.31596296719398753,-0.10085105302550618,0.9226858909459612
18,1761,1503,1509,1560,-2.0,0.0,178.0,-0.3146302952384948,-0.10218541481823465,0.9227207801305867
19,1773,1503,1509,1560,-2.0,0.0,178.0,-0.32173115658244755,-0.10527669694374077,0.9476547950016904
20,1764,1503,1509,1560,-2.0,0.0,178.0,-0.31382661531956924,-0.104232477809658,0.929263218818625
21,1759,1503,1509,1560,-2.0,0.0,178.0,-0.30789849596445373,-0.1042637502160297,0.9180542028027167
22,1774,1503,1509,1560,-2.0,0.0,178.0,-0.3162957231991209,-0.1096284432202458,0.9498845206886742
23,1763,1503,1509,1560,-2.0,0.0,178.0,-0.30579656615090656,-0.1092664685201348,0.9264183184900292
24,1775,1503,1509,1560,-2.0,0.0,178.0,-0.3109264225200317,-0.11379429936944435,0.9503829341634387
25,1761,1503,1508,1560,-2.0,0.0,178.0,-0.2987426892082434,-0.11277552864745401,0.9222997434919354
26,1788,1505,1506,1590,0.0,1.0,177.0,-0.2275822157658531,-0.19111397586792916,0.9772263503107869
27,1808,1505,1507,1590,0.0,1.0,177.0,-0.23934380429017088,-0.196643509160368,1.016758262603494
28,1801,1505,1507,1590,0.0,1.0,177.0,-0.23848969886953397,-0.19054727253735848,1.003896701070813
29,1775,1505,1506,1590,0.0,1.0,177.0,-0.22688738557057112,-0.17877121407532348,0.9506960608563323
30,1779,1505,1506,1560,0.0,0.0,178.0,-0.23046674582750742,-0.17885488040298875,0.9585084467007029
31,1773,1505,1506,1560,0.0,0.0,178.0,-0.22895054662229367,-0.1755921392121721,0.946438128312479
32,1767,1505,1506,1560,0.0,0.0,178.0,-0.22786161318161863,-0.17280823140584373,0.9349568242831133
33,1783,1505,1507,1320,-2.0,-1.0,186.0,-0.23846743530625392,-0.17802543139487007,0.9670420302784497
34,1785,1505,1507,1530,0.0,0.0,179.0,-0.24145542798346706,-0.17798775627841795,0.9706059846622039
35,1773,1505,1507,1590,0.0,0.0,177.0,-0.23823360450608305,-0.17350779999924285,0.9479958833687046
36,1785,1505,1507,1680,0.0,0.0,174.0,-0.24665720217621773,-0.17750019463809613,0.9716979899415232
37,1780,1505,1507,1740,0.0,0.0,172.0,-0.248682487779948,-0.17513360217834706,0.9608355218376445
38,1772,1505,1507,1740,0.0,0.0,172.0,-0.24637256575724145,-0.1720483350363073,0.9440109171931697
