,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,drone_error_x,drone_error_y,mode,AUX2,AUX3,Battery,time step
0,1200,1503,1509,1500,-0.4,-0.4,242,-62.0,-10.06505546515758,0.928858131378557,190.41510991510074,3.9051242675460625,9.322988973497145,Controller Detection,1500,1000,3.9,11.14002799987793
1,1498,1503,1509,1500,-0.4,-0.4,242,-62.0,-9.979524830664488,0.9473573277062062,187.5130904534053,3.8486362460371994,9.256154752265997,Controller Detection,1500,1000,3.9,11.188043117523193
2,1481,1503,1509,1500,-0.4,-0.4,242,-62.0,-10.06505546515758,0.928858131378557,190.41510991510074,3.9051242675460625,9.322988973497145,Controller Detection,1500,1000,3.9,11.237032175064087
3,1610,1503,1508,1500,-0.4,-0.4,242,-62.0,-9.550122477064141,0.9791252611204643,181.97199736100424,3.6189946316902835,8.891929119133083,Controller Detection,1500,1000,3.9,11.28403925895691
4,1614,1503,1508,1500,-0.4,-0.3,242,-62.0,-9.586656146825295,0.9786127100016042,182.10796341249537,3.63659870650397,8.923945806732219,Controller Detection,1500,1000,3.9,11.33403754234314
5,1601,1503,1509,1500,-0.4,-0.3,242,-62.0,-9.858542148263787,0.9086227760294235,187.1484443713707,3.826038896223998,9.131148613553172,Controller Detection,1500,1000,3.9,11.384034395217896
6,1607,1503,1509,1500,-0.4,-0.3,242,-62.0,-10.06505546515758,0.928858131378557,190.41510991510074,3.9051242675460625,9.322988973497145,Controller Detection,1500,1000,3.9,11.435035467147827
7,1621,1503,1509,1500,-0.4,-0.3,242,-62.0,-9.81620402274127,0.92965812394761,185.0721294056152,3.787589240460204,9.103641765197802,Controller Detection,1500,1000,3.9,11.481022834777832
8,1620,1503,1509,1500,-0.3,-0.4,242,-62.0,-9.989634766634476,0.9869865959141606,188.89279224253056,3.8183920065057215,9.283686110372305,Controller Detection,1500,1000,3.9,11.54303503036499
9,1617,1503,1509,1500,0.8,0.1,244,-64.0,-9.860972143873841,0.9455768438346135,187.0102516015203,3.472886829608216,9.277496659044717,Controller Detection,1500,1000,3.9,11.592041015625
10,1620,1503,1509,1500,0.8,0.1,244,-64.0,-9.697053337268606,0.8578106501928686,187.6270066448536,3.4799132866879217,9.091693244635422,Controller Detection,1500,1000,3.9,11.63803482055664
11,1618,1503,1508,1500,2.2,1.9,246,-66.0,-9.455797490800787,0.7194154314472668,185.42743578016396,3.188800629456244,8.930913463673152,Controller Detection,1500,1000,3.9,11.685022830963135
12,1616,1503,1508,1500,2.2,1.9,246,-66.0,-9.59178308706205,0.5524639098091065,190.9327180422347,3.396628758625273,8.987237185974946,Controller Detection,1500,1000,3.9,11.734031200408936
13,1620,1503,1508,1500,2.4,1.7,247,-67.0,-9.27195325047022,0.2363979657464595,190.85212583257498,3.405235282040119,8.627246011970652,Controller Detection,1500,1000,3.9,11.779062032699585
14,1630,1503,1508,1500,2.4,1.7,247,-67.0,-8.880543377911025,-0.10638174841942323,190.6630333587552,3.567829651387957,8.133016620051444,Controller Detection,1500,1000,3.9,11.83002758026123
15,1631,1503,1507,1500,1.8,1.0,246,-66.0,-8.19068087683946,-0.5436072840028419,188.0753116195394,3.8280600093930612,7.2614543081899345,Controller Detection,1500,1000,3.9,11.881027460098267
