,rc_th,rc_r ,rc_p ,rc_y ,sen_r,sen_p,sen_y,cam_x,cam_y,cam_z
0,1875,1503,1506,1320,-1.0,1.0,186.0,-0.2294024374315465,-0.10253691850495388,0.9742506430246193
1,1875,1503,1506,1320,-1.0,1.0,186.0,-0.2294024374315465,-0.10253691850495388,0.9742506430246193
2,1875,1503,1506,1320,-1.0,1.0,186.0,-0.2294024374315465,-0.10253691850495388,0.9742506430246193
3,1875,1503,1506,1320,-1.0,1.0,186.0,-0.2294024374315465,-0.10253691850495388,0.9742506430246193
4,1875,1503,1506,1320,-1.0,1.0,186.0,-0.2307860771136873,-0.10331717497682132,0.9815719986755822
5,1875,1503,1507,1320,-1.0,1.0,186.0,-0.23615495073005452,-0.10592529485255744,1.0025267342016817
6,1875,1503,1507,1320,-1.0,1.0,186.0,-0.23764882805760554,-0.10765035977934646,1.0119798716816522
7,1875,1503,1507,1320,-3.0,1.0,186.0,-0.2361913779339588,-0.10910663063643083,1.0120145618538738
8,1875,1503,1506,1350,-2.0,1.0,185.0,-0.22922405029559342,-0.1090020834431391,0.9882030311332597
9,1875,1503,1506,1350,-2.0,1.0,185.0,-0.22694488103358587,-0.11126598089887896,0.9892528555636063
10,1875,1503,1506,1350,-2.0,1.0,185.0,-0.2219324265972718,-0.11252759402345461,0.9783360767672556
11,1875,1503,1506,1380,0.0,0.0,184.0,-0.2210520030172239,-0.1161383378076916,0.9888404027223361
12,1875,1503,1506,1410,0.0,0.0,183.0,-0.20883983602093104,-0.11385772224412383,0.9459960914666499
13,1875,1503,1506,1410,0.0,0.0,183.0,-0.20753408238134807,-0.1174123461208625,0.9560313798641987
14,1875,1503,1506,1410,0.0,0.0,183.0,-0.20024636296313564,-0.11807139598234703,0.9362378155709643
15,1875,1503,1505,1410,0.0,0.0,183.0,-0.1970279568665847,-0.11998038544603257,0.9355144122529873
16,1863,1503,1505,1380,0.0,0.0,184.0,-0.19038058081179615,-0.12005739559613814,0.9181417350375713
