,rc_th,rc_r ,rc_p ,rc_y ,sen_r,sen_p,sen_y,cam_x,cam_y,cam_z
0,2000,1501,1504,2000,-1.0,0.0,154.0,-0.16587452294694632,-0.03454933645719964,0.640126068029709
1,2000,1501,1504,2000,-1.0,0.0,154.0,-0.16587452294694632,-0.03454933645719964,0.640126068029709
2,2000,1501,1504,2000,-1.0,0.0,154.0,-0.16587452294694632,-0.03454933645719964,0.640126068029709
3,2000,1501,1504,2000,-1.0,0.0,154.0,-0.16587452294694632,-0.03454933645719964,0.640126068029709
4,2000,1501,1505,2000,-1.0,0.0,155.0,-0.16770739124682957,-0.03494714188930265,0.6480794014009058
5,2000,1501,1504,2000,-1.0,0.0,155.0,-0.1639120235821998,-0.03403002630844487,0.6350971351086777
6,2000,1501,1504,2000,0.0,1.0,155.0,-0.1613294963684492,-0.033890071437314234,0.6285945657155249
7,2000,1501,1504,2000,-1.0,2.0,156.0,-0.16326024106256892,-0.03458356493722906,0.6371400539346962
8,2000,1501,1504,2000,-1.0,3.0,157.0,-0.16004768833318336,-0.034278590958307625,0.627286218437137
9,2000,1501,1504,2000,0.0,2.0,158.0,-0.15915032838360071,-0.034719758360323906,0.6272053526013897
10,2000,1501,1504,2000,0.0,2.0,160.0,-0.16141923915983836,-0.03587406100816077,0.6390730291809722
11,2000,1501,1504,2000,0.0,2.0,161.0,-0.15897883255166148,-0.03572616031945651,0.6329922632786723
12,2000,1501,1504,2000,0.0,2.0,164.0,-0.15810944565582508,-0.03648460516521151,0.6354973278198047
13,2000,1501,1504,2000,0.0,2.0,165.0,-0.1581551360235808,-0.037270717996261804,0.6399106251699912
14,2000,1501,1504,2000,0.0,2.0,167.0,-0.15585030169101108,-0.03751188532951189,0.6361918840011428
15,2000,1501,1504,2000,0.0,2.0,168.0,-0.1564626496933107,-0.03817708285984324,0.6434511683156644
16,2000,1501,1504,2000,-1.0,2.0,170.0,-0.15538624008245835,-0.03856026362395036,0.6468433705844117
17,2000,1501,1504,1900,-1.0,2.0,172.0,-0.15241826986164855,-0.03872871099769505,0.6411782889873673
18,2000,1501,1504,1800,-1.0,2.0,174.0,-0.14858928392759446,-0.038797372002475,0.6347562660225767
19,2000,1501,1504,1750,-1.0,2.0,175.0,-0.14816776813007876,-0.039339264921579645,0.6398675202138375
20,2000,1501,1504,1650,-1.0,2.0,177.0,-0.1441487023998944,-0.03933577707725576,0.6324108069692268
21,2000,1501,1504,1600,-1.0,2.0,178.0,-0.14386570754956457,-0.04002301857271961,0.6434475771865792
22,2000,1501,1504,1450,-1.0,3.0,181.0,-0.1385788555238512,-0.03948010549779993,0.6310791693641493
23,2000,1501,1504,1400,-1.0,2.0,182.0,-0.13585108923445133,-0.03958318628979492,0.6322816514884596
24,2000,1501,1504,1300,-1.0,2.0,184.0,-0.13505479327432668,-0.04049931850299308,0.6436571843419882
25,2000,1501,1503,1250,-1.0,2.0,185.0,-0.13225861273749423,-0.040626142013144316,0.6494059302328762
26,2000,1501,1503,1100,-1.0,3.0,188.0,-0.1280689744563038,-0.04073884740065109,0.6471136302846354
27,2000,1501,1503,1050,-2.0,3.0,189.0,-0.12420682798614195,-0.04087856644370237,0.6491483676606055
28,2000,1501,1503,1000,-2.0,3.0,191.0,-0.12179704755984495,-0.04154340393328667,0.6601695202960368
29,2000,1501,1503,1000,-2.0,3.0,192.0,-0.11803239934454579,-0.041898970593777694,0.6658366646115708
30,2000,1501,1503,1000,-3.0,3.0,193.0,-0.1111942906505082,-0.04104352820238136,0.6555444160240864
31,2000,1501,1503,1000,-2.0,3.0,194.0,-0.1068924040657606,-0.04135191610600367,0.6566794250642672
